county,city,zip,street,price,br,lsqft,bsqft,year,date
Alameda County,Alameda,94501,1050 Central Avenue,533000,3,4125,1259,2001,2005-03-27
Alameda County,Alameda,94501,10 Bainbridge Square,860000,3,4000,3150,2004,2006-02-05
Alameda County,Alameda,94501,10 Kinkaid Square,1075000,3,5162,3423,2005,2008-01-06
Alameda County,Alameda,94501,10 Sanderling Court,695000,4,3276,1679,2000,2006-02-12
Alameda County,Alameda,94501,10 Whimbrel Court,719000,4,3276,1590,2000,2006-06-11
Alameda County,Alameda,94501,1516 Buena Vista Avenue,525000,NA,NA,2144,2003,2004-10-31
Alameda County,Alameda,94501,1518 Sherman Street,530000,2,7500,1529,2002,2004-04-04
Alameda County,Alameda,94501,1601 Buena Vista Avenue,675500,3,5759,2185,2002,2008-05-18
Alameda County,Alameda,94501,1601 Buena Vista Avenue,675500,3,5759,2185,2002,2008-05-25
Alameda County,Alameda,94501,1601 Buena Vista Avenue,760000,3,5759,2185,2002,2007-01-28
Alameda County,Alameda,94501,1605 Buena Vista Avenue,805000,3,5227,2185,2002,2006-12-24
Alameda County,Alameda,94501,1608 Alameda Avenue,400000,3,2850,1866,2003,2003-06-22
Alameda County,Alameda,94501,1611 5th Street \#1,638000,4,4640,2432,2003,2004-09-12
Alameda County,Alameda,94501,1611 Stanton Street,585000,3,3820,2209,2002,2004-07-04
Alameda County,Alameda,94501,1611 Stanton Street,620000,3,3820,2209,2002,2005-02-13
Alameda County,Alameda,94501,1807 Hibbard Street,799000,3,34000,2401,2002,2007-02-18
Alameda County,Alameda,94501,1807 Hibbard Street,799000,3,34000,2401,2002,2007-03-04
Alameda County,Alameda,94501,1807 Hibbard Street,799000,3,34000,2401,2002,2007-03-18
Alameda County,Alameda,94501,1816 Lafayette Street,580000,3,4860,1361,2002,2004-12-12
Alameda County,Alameda,94501,1819 Ohlone Street,840000,3,NA,2185,2003,2005-08-07
Alameda County,Alameda,94501,1825 Paru Street,336000,3,3200,1192,2003,2007-07-29
Alameda County,Alameda,94501,1829 Ohlone Street,805000,4,NA,2455,2003,2007-08-12
Alameda County,Alameda,94501,1901 Paru Street,780000,3,3195,2078,2002,2007-03-25
Alameda County,Alameda,94501,1902 Paru Street,845000,3,4000,2401,2002,2005-12-25
Alameda County,Alameda,94501,1 El Capitan Court,849000,4,4500,2455,2002,2005-05-15
Alameda County,Alameda,94501,2064 Alameda Avenue,925000,3,5250,2348,2002,2004-07-18
Alameda County,Alameda,94501,2121 Glenview Street,871000,3,3418,2361,2006,2007-08-19
Alameda County,Alameda,94501,2127 Lincoln Avenue,560000,4,7000,2686,2002,2004-12-05
Alameda County,Alameda,94501,2200 Clinton Avenue,490000,NA,NA,2222,2002,2005-09-11
Alameda County,Alameda,94501,2203 Santa Clara Avenue,170000,3,NA,1276,2001,2007-09-30
Alameda County,Alameda,94501,2218 Mosley Avenue,870000,4,4018,2219,2005,2007-09-23
Alameda County,Alameda,94501,2378 Coral Sea Street,1100000,4,3760,2925,2006,2006-12-31
Alameda County,Alameda,94501,261 Ansel Avenue,718500,3,3010,2035,2007,2008-10-05
Alameda County,Alameda,94501,2815 Marina Drive,870000,4,5000,3141,2001,2003-12-14
Alameda County,Alameda,94501,2 Egret Court,699000,4,2450,1679,2000,2006-05-21
Alameda County,Alameda,94501,300 Hollister Avenue,915000,3,3327,2361,2005,2007-04-08
Alameda County,Alameda,94501,3263 Madison Street,948000,4,5365,3120,2002,2004-12-19
Alameda County,Alameda,94501,3263 Madison Street,948000,4,5365,3120,2002,2005-02-13
Alameda County,Alameda,94501,350 Hollister Avenue,840000,3,3519,2361,2005,2007-10-07
Alameda County,Alameda,94501,360 Jack London Avenue,1016000,4,3995,2539,2005,2006-06-25
Alameda County,Alameda,94501,381 Hollister Avenue,750000,4,3078,2219,2005,2008-06-29
Alameda County,Alameda,94501,390 Hollister Avenue,775000,4,3111,2219,2005,2008-07-13
Alameda County,Alameda,94501,3 Costanoan Court,710000,3,3800,2185,2002,2004-07-25
Alameda County,Alameda,94501,3 Egret Court,745000,4,2450,1679,2000,2007-04-01
Alameda County,Alameda,94501,3 El Capitan Court,766000,3,3600,2185,2002,2007-03-11
Alameda County,Alameda,94501,411 Hollister Avenue,785000,3,3078,2361,2004,2007-02-18
Alameda County,Alameda,94501,411 Hollister Avenue,785000,3,3078,2361,2004,2007-02-25
Alameda County,Alameda,94501,411 Hollister Avenue,785000,3,3078,2361,2004,2007-03-18
Alameda County,Alameda,94501,430 Hollister Avenue,770000,3,3117,2035,2004,2006-07-23
Alameda County,Alameda,94501,5 Costanoan Court,851000,4,4750,2455,2002,2005-05-01
Alameda County,Alameda,94501,5 Sanderling Court,598000,3,2450,1365,2000,2008-01-20
Alameda County,Alameda,94501,5 Sanderling Court,674000,3,2450,1365,2000,2006-04-16
Alameda County,Alameda,94501,608 Tern Lane,685000,4,2744,1590,2000,2006-05-28
Alameda County,Alameda,94501,835 Centennial Avenue,689000,3,4860,1372,2003,2005-01-30
Alameda County,Alameda,94501,8 Kinkaid Square,850000,3,5162,2724,2005,2008-06-29
Alameda County,Alameda,94501,8 Plover Court,705000,4,3274,1679,2000,2008-07-13
Alameda County,Alameda,94502,1116 Hillery Way,751000,2,2627,1658,2003,2006-07-16
Alameda County,Alameda,94502,1148 Hillery Way,785000,3,2833,1913,2003,2007-01-28
Alameda County,Alameda,94502,1148 Hillery Way,785000,3,2833,1913,2003,2007-03-18
Alameda County,Alameda,94502,1165 Hillery Way,805000,3,2564,1913,2003,2007-07-15
Alameda County,Alameda,94502,1169 Hillery Way,805000,3,2586,1889,2003,2007-09-09
Alameda County,Alameda,94502,1171 Hillery Way,820000,3,2586,1913,2003,2006-08-20
Alameda County,Alameda,94502,152 Stanbridge Lane,885000,3,5100,1817,2000,2006-06-18
Alameda County,Alameda,94608,1018 28th Street,280000,4,4170,2682,2002,2003-10-19
Alameda County,Albany,94706,909 Adams Street \#D,635000,3,NA,1454,2004,2006-09-24
